source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence,datasets,source.ligand,target.receptor,ligand.pvalues,ligand.logFC,ligand.pct.1,ligand.pct.2,receptor.pvalues,receptor.logFC,receptor.pct.1,receptor.pct.2
T/NK Cells,LSEC Zone 2&3 3,TGFB1,ACVR1B_TGFbR2,9.148946582473531e-4,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815,Normal,T/NK Cells.TGFB1,LSEC Zone 2&3 3.ACVR1B_TGFbR2,NA,NA,NA,NA,2.589371343737085e-10,0.24655711291982813,38.39009287925697,14
HSC/Fibroblasts,LSEC Zone 2&3 3,TGFB1,ACVR1B_TGFbR2,0.003285247058774066,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815,Normal,HSC/Fibroblasts.TGFB1,LSEC Zone 2&3 3.ACVR1B_TGFbR2,6.668282989002227e-25,0.16617403044620963,25.609756097560975,5.88235294117647,2.589371343737085e-10,0.24655711291982813,38.39009287925697,14
T/NK Cells,IZ 3,TGFB1,ACVR1B_TGFbR2,0.0016622688500748646,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815,Normal,T/NK Cells.TGFB1,IZ 3.ACVR1B_TGFbR2,NA,NA,NA,NA,1.2289915003968422e-13,0.37599983594030717,51.7723880597015,16.852886405959033
HSC/Fibroblasts,IZ 3,TGFB1,ACVR1B_TGFbR2,0.005960742802317182,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815,Normal,HSC/Fibroblasts.TGFB1,IZ 3.ACVR1B_TGFbR2,6.668282989002227e-25,0.16617403044620963,25.609756097560975,5.88235294117647,1.2289915003968422e-13,0.37599983594030717,51.7723880597015,16.852886405959033
T/NK Cells,IZ 6,TGFB1,ACVR1B_TGFbR2,0.0028907596991174056,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815,Normal,T/NK Cells.TGFB1,IZ 6.ACVR1B_TGFbR2,NA,NA,NA,NA,2.3108611340498704e-17,0.4268851149255499,57.160493827160494,19.58041958041958
HSC/Fibroblasts,IZ 6,TGFB1,ACVR1B_TGFbR2,0.010334984032034469,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815,Normal,HSC/Fibroblasts.TGFB1,IZ 6.ACVR1B_TGFbR2,6.668282989002227e-25,0.16617403044620963,25.609756097560975,5.88235294117647,2.3108611340498704e-17,0.4268851149255499,57.160493827160494,19.58041958041958
T/NK Cells,PP 1,TGFB1,ACVR1B_TGFbR2,0.0017890707660828693,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815,Normal,T/NK Cells.TGFB1,PP 1.ACVR1B_TGFbR2,NA,NA,NA,NA,7.937311821755136e-26,0.33831987259399715,50.553250345781464,15.772357723577233
HSC/Fibroblasts,PP 1,TGFB1,ACVR1B_TGFbR2,0.006415442779478338,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815,Normal,HSC/Fibroblasts.TGFB1,PP 1.ACVR1B_TGFbR2,6.668282989002227e-25,0.16617403044620963,25.609756097560975,5.88235294117647,7.937311821755136e-26,0.33831987259399715,50.553250345781464,15.772357723577233
T/NK Cells,PP 2,TGFB1,ACVR1B_TGFbR2,0.0031441888106582463,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815,Normal,T/NK Cells.TGFB1,PP 2.ACVR1B_TGFbR2,NA,NA,NA,NA,1.8565187155448434e-40,0.4382862424538554,57.83898305084746,14.482758620689655
HSC/Fibroblasts,PP 2,TGFB1,ACVR1B_TGFbR2,0.01124103852761463,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815,Normal,HSC/Fibroblasts.TGFB1,PP 2.ACVR1B_TGFbR2,6.668282989002227e-25,0.16617403044620963,25.609756097560975,5.88235294117647,1.8565187155448434e-40,0.4382862424538554,57.83898305084746,14.482758620689655
T/NK Cells,PP 3,TGFB1,ACVR1B_TGFbR2,0.002727992923312237,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815,Normal,T/NK Cells.TGFB1,PP 3.ACVR1B_TGFbR2,NA,NA,NA,NA,3.6498485947906594e-32,0.4715302125512273,63.3492252681764,15.992647058823529
HSC/Fibroblasts,PP 3,TGFB1,ACVR1B_TGFbR2,0.009753063636020317,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815,Normal,HSC/Fibroblasts.TGFB1,PP 3.ACVR1B_TGFbR2,6.668282989002227e-25,0.16617403044620963,25.609756097560975,5.88235294117647,3.6498485947906594e-32,0.4715302125512273,63.3492252681764,15.992647058823529
T/NK Cells,PP 4,TGFB1,ACVR1B_TGFbR2,0.0023613265741047767,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815,Normal,T/NK Cells.TGFB1,PP 4.ACVR1B_TGFbR2,NA,NA,NA,NA,1.1585441508254662e-25,0.3997424435722484,56.09090909090909,16.598360655737707
HSC/Fibroblasts,PP 4,TGFB1,ACVR1B_TGFbR2,0.008453140005935807,0,TGFB1_ACVR1B_TGFBR2,TGFB1 - (ACVR1B+TGFBR2),TGFb,Secreted Signaling,PMID: 27449815,Normal,HSC/Fibroblasts.TGFB1,PP 4.ACVR1B_TGFbR2,6.668282989002227e-25,0.16617403044620963,25.609756097560975,5.88235294117647,1.1585441508254662e-25,0.3997424435722484,56.09090909090909,16.598360655737707
Endothelial Progenitor,HSC/Fibroblasts,BMP6,ACVR1_ACVR2A,0.0022780788384576256,0,BMP6_ACVR1_ACVR2A,BMP6 - (ACVR1+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,Endothelial Progenitor.BMP6,HSC/Fibroblasts.ACVR1_ACVR2A,4.2649738764837467e-7,0.3124943512853565,41.47727272727273,11.842105263157894,4.730526628392257e-6,0.10225017891740425,26.045296167247386,13.427109974424553
Portal Endothelial,HSC/Fibroblasts,BMP6,ACVR1_ACVR2A,0.010322794644167799,0,BMP6_ACVR1_ACVR2A,BMP6 - (ACVR1+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,Portal Endothelial.BMP6,HSC/Fibroblasts.ACVR1_ACVR2A,2.14171007574167e-58,0.5984614098039082,56.481481481481474,10.278745644599303,4.730526628392257e-6,0.10225017891740425,26.045296167247386,13.427109974424553
LSEC Zone 1,HSC/Fibroblasts,BMP6,ACVR1_ACVR2A,0.013794084844829005,0,BMP6_ACVR1_ACVR2A,BMP6 - (ACVR1+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 1.BMP6,HSC/Fibroblasts.ACVR1_ACVR2A,0.04200151231184319,-0.25251146854132367,67.88990825688074,70.71428571428572,4.730526628392257e-6,0.10225017891740425,26.045296167247386,13.427109974424553
LSEC Zone 2&3 1,HSC/Fibroblasts,BMP6,ACVR1_ACVR2A,0.011504134524581102,0,BMP6_ACVR1_ACVR2A,BMP6 - (ACVR1+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 2&3 1.BMP6,HSC/Fibroblasts.ACVR1_ACVR2A,7.50349039562905e-36,0.6356071559888669,69.08713692946058,28.26086956521739,4.730526628392257e-6,0.10225017891740425,26.045296167247386,13.427109974424553
LSEC Zone 2&3 2,HSC/Fibroblasts,BMP6,ACVR1_ACVR2A,0.02221100304806561,0,BMP6_ACVR1_ACVR2A,BMP6 - (ACVR1+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 2&3 2.BMP6,HSC/Fibroblasts.ACVR1_ACVR2A,1.1133959444582506e-69,0.9235643274126857,92.36111111111111,48.04597701149425,4.730526628392257e-6,0.10225017891740425,26.045296167247386,13.427109974424553
LSEC Zone 2&3 3,HSC/Fibroblasts,BMP6,ACVR1_ACVR2A,0.02159198368433486,0,BMP6_ACVR1_ACVR2A,BMP6 - (ACVR1+ACVR2A),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 2&3 3.BMP6,HSC/Fibroblasts.ACVR1_ACVR2A,1.6817979121991368e-45,0.9068487325815036,76.78018575851394,26.666666666666668,4.730526628392257e-6,0.10225017891740425,26.045296167247386,13.427109974424553
Endothelial Progenitor,Endothelial Progenitor,BMP6,ACVR1_BMPR2,0.0033783006744277674,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,Endothelial Progenitor.BMP6,Endothelial Progenitor.ACVR1_BMPR2,4.2649738764837467e-7,0.3124943512853565,41.47727272727273,11.842105263157894,1.8350879918817763e-6,0.39308404333826596,65.3409090909091,30.263157894736842
Portal Endothelial,Endothelial Progenitor,BMP6,ACVR1_BMPR2,0.015207720323988134,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,Portal Endothelial.BMP6,Endothelial Progenitor.ACVR1_BMPR2,2.14171007574167e-58,0.5984614098039082,56.481481481481474,10.278745644599303,1.8350879918817763e-6,0.39308404333826596,65.3409090909091,30.263157894736842
LSEC Zone 1,Endothelial Progenitor,BMP6,ACVR1_BMPR2,0.02025942991847848,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 1.BMP6,Endothelial Progenitor.ACVR1_BMPR2,0.04200151231184319,-0.25251146854132367,67.88990825688074,70.71428571428572,1.8350879918817763e-6,0.39308404333826596,65.3409090909091,30.263157894736842
LSEC Zone 2&3 1,Endothelial Progenitor,BMP6,ACVR1_BMPR2,0.01693038555716852,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 2&3 1.BMP6,Endothelial Progenitor.ACVR1_BMPR2,7.50349039562905e-36,0.6356071559888669,69.08713692946058,28.26086956521739,1.8350879918817763e-6,0.39308404333826596,65.3409090909091,30.263157894736842
LSEC Zone 2&3 2,Endothelial Progenitor,BMP6,ACVR1_BMPR2,0.03238086348324887,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 2&3 2.BMP6,Endothelial Progenitor.ACVR1_BMPR2,1.1133959444582506e-69,0.9235643274126857,92.36111111111111,48.04597701149425,1.8350879918817763e-6,0.39308404333826596,65.3409090909091,30.263157894736842
LSEC Zone 2&3 3,Endothelial Progenitor,BMP6,ACVR1_BMPR2,0.03149548979974528,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 2&3 3.BMP6,Endothelial Progenitor.ACVR1_BMPR2,1.6817979121991368e-45,0.9068487325815036,76.78018575851394,26.666666666666668,1.8350879918817763e-6,0.39308404333826596,65.3409090909091,30.263157894736842
Endothelial Progenitor,Hepatocyte Progenitor,BMP6,ACVR1_BMPR2,0.0018883120667061697,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,Endothelial Progenitor.BMP6,Hepatocyte Progenitor.ACVR1_BMPR2,4.2649738764837467e-7,0.3124943512853565,41.47727272727273,11.842105263157894,6.160904293320906e-6,0.23948862156831155,37.183544303797476,9.740259740259742
Portal Endothelial,Hepatocyte Progenitor,BMP6,ACVR1_BMPR2,0.008556621201884914,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,Portal Endothelial.BMP6,Hepatocyte Progenitor.ACVR1_BMPR2,2.14171007574167e-58,0.5984614098039082,56.481481481481474,10.278745644599303,6.160904293320906e-6,0.23948862156831155,37.183544303797476,9.740259740259742
LSEC Zone 1,Hepatocyte Progenitor,BMP6,ACVR1_BMPR2,0.011433992723138069,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 1.BMP6,Hepatocyte Progenitor.ACVR1_BMPR2,0.04200151231184319,-0.25251146854132367,67.88990825688074,70.71428571428572,6.160904293320906e-6,0.23948862156831155,37.183544303797476,9.740259740259742
LSEC Zone 2&3 1,Hepatocyte Progenitor,BMP6,ACVR1_BMPR2,0.00953584031994493,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 2&3 1.BMP6,Hepatocyte Progenitor.ACVR1_BMPR2,7.50349039562905e-36,0.6356071559888669,69.08713692946058,28.26086956521739,6.160904293320906e-6,0.23948862156831155,37.183544303797476,9.740259740259742
LSEC Zone 2&3 2,Hepatocyte Progenitor,BMP6,ACVR1_BMPR2,0.018410822470791306,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 2&3 2.BMP6,Hepatocyte Progenitor.ACVR1_BMPR2,1.1133959444582506e-69,0.9235643274126857,92.36111111111111,48.04597701149425,6.160904293320906e-6,0.23948862156831155,37.183544303797476,9.740259740259742
LSEC Zone 2&3 3,Hepatocyte Progenitor,BMP6,ACVR1_BMPR2,0.01789771391882874,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 2&3 3.BMP6,Hepatocyte Progenitor.ACVR1_BMPR2,1.6817979121991368e-45,0.9068487325815036,76.78018575851394,26.666666666666668,6.160904293320906e-6,0.23948862156831155,37.183544303797476,9.740259740259742
Endothelial Progenitor,T/NK Cells,BMP6,ACVR1_BMPR2,0.002235447493755072,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,Endothelial Progenitor.BMP6,T/NK Cells.ACVR1_BMPR2,4.2649738764837467e-7,0.3124943512853565,41.47727272727273,11.842105263157894,2.829637475398336e-6,0.19224736850282426,34.72222222222222,12.42603550295858
Portal Endothelial,T/NK Cells,BMP6,ACVR1_BMPR2,0.010129616686785452,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,Portal Endothelial.BMP6,T/NK Cells.ACVR1_BMPR2,2.14171007574167e-58,0.5984614098039082,56.481481481481474,10.278745644599303,2.829637475398336e-6,0.19224736850282426,34.72222222222222,12.42603550295858
LSEC Zone 1,T/NK Cells,BMP6,ACVR1_BMPR2,0.013535946111459127,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 1.BMP6,T/NK Cells.ACVR1_BMPR2,0.04200151231184319,-0.25251146854132367,67.88990825688074,70.71428571428572,2.829637475398336e-6,0.19224736850282426,34.72222222222222,12.42603550295858
LSEC Zone 2&3 1,T/NK Cells,BMP6,ACVR1_BMPR2,0.0112888492955791,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 2&3 1.BMP6,T/NK Cells.ACVR1_BMPR2,7.50349039562905e-36,0.6356071559888669,69.08713692946058,28.26086956521739,2.829637475398336e-6,0.19224736850282426,34.72222222222222,12.42603550295858
LSEC Zone 2&3 2,T/NK Cells,BMP6,ACVR1_BMPR2,0.021795352408084844,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 2&3 2.BMP6,T/NK Cells.ACVR1_BMPR2,1.1133959444582506e-69,0.9235643274126857,92.36111111111111,48.04597701149425,2.829637475398336e-6,0.19224736850282426,34.72222222222222,12.42603550295858
LSEC Zone 2&3 3,T/NK Cells,BMP6,ACVR1_BMPR2,0.021187917203526842,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 2&3 3.BMP6,T/NK Cells.ACVR1_BMPR2,1.6817979121991368e-45,0.9068487325815036,76.78018575851394,26.666666666666668,2.829637475398336e-6,0.19224736850282426,34.72222222222222,12.42603550295858
Endothelial Progenitor,HSC/Fibroblasts,BMP6,ACVR1_BMPR2,0.0056343402962481534,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,Endothelial Progenitor.BMP6,HSC/Fibroblasts.ACVR1_BMPR2,4.2649738764837467e-7,0.3124943512853565,41.47727272727273,11.842105263157894,9.113012446249254e-14,0.3583342630675418,53.745644599303134,29.156010230179028
Portal Endothelial,HSC/Fibroblasts,BMP6,ACVR1_BMPR2,0.025254280477595467,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,Portal Endothelial.BMP6,HSC/Fibroblasts.ACVR1_BMPR2,2.14171007574167e-58,0.5984614098039082,56.481481481481474,10.278745644599303,9.113012446249254e-14,0.3583342630675418,53.745644599303134,29.156010230179028
LSEC Zone 1,HSC/Fibroblasts,BMP6,ACVR1_BMPR2,0.03357629757691643,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 1.BMP6,HSC/Fibroblasts.ACVR1_BMPR2,0.04200151231184319,-0.25251146854132367,67.88990825688074,70.71428571428572,9.113012446249254e-14,0.3583342630675418,53.745644599303134,29.156010230179028
LSEC Zone 2&3 1,HSC/Fibroblasts,BMP6,ACVR1_BMPR2,0.028095868726375595,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 2&3 1.BMP6,HSC/Fibroblasts.ACVR1_BMPR2,7.50349039562905e-36,0.6356071559888669,69.08713692946058,28.26086956521739,9.113012446249254e-14,0.3583342630675418,53.745644599303134,29.156010230179028
LSEC Zone 2&3 2,HSC/Fibroblasts,BMP6,ACVR1_BMPR2,0.053410268048349,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 2&3 2.BMP6,HSC/Fibroblasts.ACVR1_BMPR2,1.1133959444582506e-69,0.9235643274126857,92.36111111111111,48.04597701149425,9.113012446249254e-14,0.3583342630675418,53.745644599303134,29.156010230179028
LSEC Zone 2&3 3,HSC/Fibroblasts,BMP6,ACVR1_BMPR2,0.051967940687773086,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 2&3 3.BMP6,HSC/Fibroblasts.ACVR1_BMPR2,1.6817979121991368e-45,0.9068487325815036,76.78018575851394,26.666666666666668,9.113012446249254e-14,0.3583342630675418,53.745644599303134,29.156010230179028
Endothelial Progenitor,IZ 1,BMP6,ACVR1_BMPR2,0.001745480749185136,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,Endothelial Progenitor.BMP6,IZ 1.ACVR1_BMPR2,4.2649738764837467e-7,0.3124943512853565,41.47727272727273,11.842105263157894,1.0930762407996683e-9,0.21109509706708204,44.72868217054263,23.555555555555557
Portal Endothelial,IZ 1,BMP6,ACVR1_BMPR2,0.007909401125636888,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,Portal Endothelial.BMP6,IZ 1.ACVR1_BMPR2,2.14171007574167e-58,0.5984614098039082,56.481481481481474,10.278745644599303,1.0930762407996683e-9,0.21109509706708204,44.72868217054263,23.555555555555557
LSEC Zone 1,IZ 1,BMP6,ACVR1_BMPR2,0.010569129190268506,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 1.BMP6,IZ 1.ACVR1_BMPR2,0.04200151231184319,-0.25251146854132367,67.88990825688074,70.71428571428572,1.0930762407996683e-9,0.21109509706708204,44.72868217054263,23.555555555555557
LSEC Zone 2&3 1,IZ 1,BMP6,ACVR1_BMPR2,0.008814552424484022,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 2&3 1.BMP6,IZ 1.ACVR1_BMPR2,7.50349039562905e-36,0.6356071559888669,69.08713692946058,28.26086956521739,1.0930762407996683e-9,0.21109509706708204,44.72868217054263,23.555555555555557
LSEC Zone 2&3 2,IZ 1,BMP6,ACVR1_BMPR2,0.017018233779274902,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 2&3 2.BMP6,IZ 1.ACVR1_BMPR2,1.1133959444582506e-69,0.9235643274126857,92.36111111111111,48.04597701149425,1.0930762407996683e-9,0.21109509706708204,44.72868217054263,23.555555555555557
LSEC Zone 2&3 3,IZ 1,BMP6,ACVR1_BMPR2,0.016543936593187876,0,BMP6_ACVR1_BMPR2,BMP6 - (ACVR1+BMPR2),BMP,Secreted Signaling,KEGG: hsa04350; PMID:26893264,Normal,LSEC Zone 2&3 3.BMP6,IZ 1.ACVR1_BMPR2,1.6817979121991368e-45,0.9068487325815036,76.78018575851394,26.666666666666668,1.0930762407996683e-9,0.21109509706708204,44.72868217054263,23.555555555555557
